Naam;Weging;Industrie;Land
DAIWA HOUSE REIT CORP;0,02;Vastgoed;Japan
UBISOFT ENTERTAINMENT SA CAT A;0,02;Communicatie;Frankrijk
DYNATRACE INC;0,02;IT;Verenigde Staten
ESSENTIAL UTILITIES INC;0,02;Nutsbedrijven;Verenigde Staten
TECK RESOURCES SUBORDINATE VOTING;0,02;Materialen;Canada
MONCLER;0,02;Luxe-consumentengoederen;Italië
HEICO CORP CLASS A;0,02;Industrie;Verenigde Staten
AGL ENERGY LTD;0,02;Nutsbedrijven;Australië
HUSQVARNA;0,02;Luxe-consumentengoederen;Zweden
SEI INVESTMENTS;0,01;Financiële waarden;Verenigde Staten
FRANKLIN RESOURCES INC;0,01;Financiële waarden;Verenigde Staten
NISOURCE INC;0,01;Nutsbedrijven;Verenigde Staten
EXOR NV;0,01;Financiële waarden;Italië
BALOISE HOLDING AG;0,01;Financiële waarden;Zwitserland
NIPPON STEEL CORP;0,01;Materialen;Japan
CABLE ONE INC;0,01;Communicatie;Verenigde Staten
WSP GLOBAL INC;0,01;Industrie;Canada
MOSAIC;0,01;Materialen;Verenigde Staten
IONIS PHARMACEUTICALS INC;0,01;Gezondheidszorg;Verenigde Staten
ZIONS BANCORPORATION;0,01;Financiële waarden;Verenigde Staten
ELECTROLUX B;0,01;Luxe-consumentengoederen;Zweden
NISSIN FOODS HOLDINGS LTD;0,01;Basis-consumentengoederen;Japan
HUNTINGTON INGALLS INDUSTRIES INC;0,01;Industrie;Verenigde Staten
UNIBAIL RODAMCO WE STAPLED UNITS;0,01;Vastgoed;Frankrijk
SENSATA TECHNOLOGIES HOLDING PLC;0,01;Industrie;Verenigde Staten
UGI CORP;0,01;Nutsbedrijven;Verenigde Staten
NIPPON PROLOGIS REIT INC;0,01;Vastgoed;Japan
DISCO CORP;0,01;IT;Japan
NATWEST GROUP PLC;0,01;Financiële waarden;Verenigd Koninkrijk
NEXI;0,01;IT;Italië
VOYA FINANCIAL INC;0,01;Financiële waarden;Verenigde Staten
ALFA LAVAL;0,01;Industrie;Zweden
ORICA LTD;0,01;Materialen;Australië
YOKOGAWA ELECTRIC CORP;0,01;IT;Japan
ASAHI INTECC LTD;0,01;Gezondheidszorg;Japan
INFORMA PLC;0,01;Communicatie;Verenigd Koninkrijk
T&D HOLDINGS INC;0,01;Financiële waarden;Japan
JAPAN REAL ESTATE INVESTMENT TRUST;0,01;Vastgoed;Japan
ST JAMESS PLACE PLC;0,01;Financiële waarden;Verenigd Koninkrijk
COMMERZBANK AG;0,01;Financiële waarden;Duitsland
ATHENE HOLDING LTD CLASS A;0,01;Financiële waarden;Verenigde Staten
HARGREAVES LANSDOWN PLC;0,01;Financiële waarden;Verenigd Koninkrijk
MINEBEA MITSUMI INC;0,01;Industrie;Japan
COMPUTERSHARE LTD;0,01;IT;Australië
VISTRA CORP;0,01;Nutsbedrijven;Verenigde Staten
AEGON NV;0,01;Financiële waarden;Nederland
ORPEA SA;0,01;Gezondheidszorg;Frankrijk
AUTO TRADER GROUP PLC;0,01;Communicatie;Verenigd Koninkrijk
REGENCY CENTERS REIT CORP;0,01;Vastgoed;Verenigde Staten
YAMAHA MOTOR LTD;0,01;Luxe-consumentengoederen;Japan
OGE ENERGY CORP;0,01;Nutsbedrijven;Verenigde Staten
FIRST QUANTUM MINERALS LTD;0,01;Materialen;Canada
ONEX CORP;0,01;Financiële waarden;Canada
SIEMENS GAMESA RENEWABLE ENERGY SA;0,01;Industrie;Spanje
AISIN SEIKI LTD;0,01;Luxe-consumentengoederen;Japan
RENAULT SA;0,01;Luxe-consumentengoederen;Frankrijk
DAVIDE CAMPARI MILANO;0,01;Basis-consumentengoederen;Italië
GALP ENERGIA SGPS SA;0,01;Energie;Portugal
USS LTD;0,01;Luxe-consumentengoederen;Japan
TEAMVIEWER AG;0,01;IT;Duitsland
NISSHIN SEIFUN GROUP INC;0,01;Basis-consumentengoederen;Japan
TOKYU CORP;0,01;Industrie;Japan
DEMANT;0,01;Gezondheidszorg;Denemarken
IPG PHOTONICS CORP;0,01;IT;Verenigde Staten
TOBU RAILWAY LTD;0,01;Industrie;Japan
LASERTEC CORP;0,01;IT;Japan
AXALTA COATING SYSTEMS LTD;0,01;Materialen;Verenigde Staten
ACCOR SA;0,01;Luxe-consumentengoederen;Frankrijk
GLP J-REIT REIT;0,01;Vastgoed;Japan
FINECOBANK BANCA FINECO;0,01;Financiële waarden;Italië
ISUZU MOTORS LTD;0,01;Luxe-consumentengoederen;Japan
BUNGE LTD;0,01;Basis-consumentengoederen;Verenigde Staten
A P MOLLER MAERSK;0,01;Industrie;Denemarken
HANG LUNG PROPERTIES LTD;0,01;Vastgoed;Hong Kong
BANK HAPOALIM BM;0,01;Financiële waarden;Israël
SEALED AIR CORP;0,01;Materialen;Verenigde Staten
BIOMERIEUX SA;0,01;Gezondheidszorg;Frankrijk
SUMITOMO CHEMICAL LTD;0,01;Materialen;Japan
TSURUHA HOLDINGS INC;0,01;Basis-consumentengoederen;Japan
EAST WEST BANCORP INC;0,01;Financiële waarden;Verenigde Staten
RECORDATI INDUSTRIA CHIMICA E FARM;0,01;Gezondheidszorg;Italië
NATIONAL RETAIL PROPERTIES REIT IN;0,01;Vastgoed;Verenigde Staten
RENESAS ELECTRONICS CORP;0,01;IT;Japan
NEWS CORP CLASS A;0,01;Communicatie;Verenigde Staten
RSA INSURANCE GROUP PLC;0,01;Financiële waarden;Verenigd Koninkrijk
FEDERAL REALTY INVESTMENT TRUST RE;0,01;Vastgoed;Verenigde Staten
AUTOLIV INC;0,01;Luxe-consumentengoederen;Verenigde Staten
TOSOH CORP;0,01;Materialen;Japan
WHITBREAD PLC;0,01;Luxe-consumentengoederen;Verenigd Koninkrijk
JOHNSON MATTHEY PLC;0,01;Materialen;Verenigd Koninkrijk
REINSURANCE GROUP OF AMERICA INC;0,01;Financiële waarden;Verenigde Staten
ROLLS-ROYCE HOLDINGS PLC;0,01;Industrie;Verenigd Koninkrijk
FLIR SYSTEMS INC;0,01;IT;Verenigde Staten
SAPUTO INC;0,01;Basis-consumentengoederen;Canada
PEARSON PLC;0,01;Communicatie;Verenigd Koninkrijk
BENESSE HOLDINGS INC;0,01;Luxe-consumentengoederen;Japan
EPIROC CLASS B;0,01;Industrie;Zweden
KOITO MANUFACTURING LTD;0,01;Luxe-consumentengoederen;Japan
CAMECO CORP;0,01;Energie;Canada
