FEVERTREE DRINKS;0.060122%
UNIVAR SOLUTIONS;0.060084%
NIHON KOHDEN CORP;0.059919%
TIETOEVRY;0.059870%
SNC-LAVALIN GROUP;0.059833%
COLFAX CORP;0.059682%
ALPS ALPINE CO;0.059648%
FIBROGEN;0.059399%
CRISPR THERAPEUTICS;0.059202%
MSG SPORTS A;0.059195%
AEDIFICA;0.059190%
LIFCO B;0.059182%
CLEANAWAY WASTE MGMT;0.059156%
ISS;0.059013%
ALKERMES;0.058986%
DOMETIC GROUP;0.058973%
NIPPON ACCOMMODATIONS;0.058968%
HAIN CELESTIAL GROUP;0.058963%
WEBSTER FINANCIAL CORP;0.058958%
VARONIS SYSTEMS;0.058856%
REDFIN;0.058825%
INMOBILIARIA COLONIAL;0.058703%
VISCOFAN;0.058632%
CANNAE;0.058513%
TAUBMAN CENTERS;0.058477%
WD-40 CO;0.058453%
IDORSIA;0.058341%
DIPLOMA;0.058182%
MEDPACE HOLDINGS;0.058169%
INTEGER HOLDINGS CORP;0.058126%
UMPQUA HOLDINGS CORP;0.058120%
MIMECAST;0.057927%
BANK HAWAII CORP;0.057919%
SILGAN HOLDINGS;0.057850%
SALMAR;0.057828%
CARSALES.COM.AU;0.057825%
REXEL;0.057766%
ADEVINTA;0.057765%
CVB FINANCIAL CORP;0.057445%
SANDERSON FARMS;0.057282%
ADVANCED ENERGY IND;0.057211%
DOMINO'S PIZZA ENT;0.057200%
NEOGENOMICS;0.057191%
NATL HEALTH INVESTORS;0.056836%
ACACIA COMMUNICATIONS;0.056814%
SEKISUI HOUSE REIT;0.056712%
INCHCAPE PLC;0.056616%
SSR MINING;0.056536%
IWG;0.056402%
MICROPORT SCI (HK);0.056292%
ITRON;0.056291%
PARK HOTELS & RESORTS;0.056266%
SIGNATURE AVIATION;0.056251%
TAYLOR MORRISON HOME;0.056218%
BUILDERS FIRSTSOURCE;0.056126%
STERLING BANCORP (NEW);0.056121%
SHENANDOAH TELECOMMUN CO;0.056102%
NETWORK INTERNATIONAL;0.056052%
SPIRIT AEROSYSTEMS A;0.056015%
AARON'S INC;0.056009%
MASTEC;0.055938%
NCR CORP;0.055919%
CHEMOCENTRYX;0.055893%
INSMED;0.055881%
ELEMENT SOLUTIONS;0.055822%
NANKAI ELECTRIC RAILWAY;0.055653%
ASSURED GUARANTY;0.055575%
VALMONT INDUSTRIES;0.055536%
LEXINGTON REALTY TRUST;0.055361%
LCI INDUSTRIES;0.055349%
WINTRUST FINANCIAL CORP;0.055319%
FNB CORP;0.055307%
CRACKER BARREL;0.055064%
ILUKA RESOURCES;0.054983%
FABRINET;0.054847%
NETCOMPANY GROUP;0.054751%
BRITVIC;0.054722%
TRINET GROUP;0.054718%
TEGNA;0.054705%
TP ICAP;0.054663%
MARKS & SPENCER GROUP;0.054655%
TOKYO TATEMONO CO;0.054611%
UMB FINANCIAL CORP;0.054610%
GROCERY OUTLET HOLDING;0.054610%
GRAINGER;0.054542%
CANCOM;0.054528%
HAYS;0.054517%
STOREBRAND;0.054515%
PREMIER A;0.054332%
TERADATA;0.054296%
BILLERUDKORSNAS;0.054178%
SPS COMMERCE;0.054138%
INDEPENDENT BANK (MA);0.053733%
CRANSWICK;0.053692%
ELDORADO RESORTS;0.053629%
CAPRI HOLDINGS;0.053588%
K'S HOLDINGS CORP;0.053543%
ADDTECH B;0.053512%
ALTEN;0.053493%
NOF CORP;0.053409%
YETI HOLDINGS;0.053396%
THULE GROUP;0.053341%
ASSURA;0.053294%
ENTRA;0.053165%
POLYONE CORP;0.053085%
BAWAG GROUP;0.053027%
RAPID7;0.053001%
POTLATCHDELTIC CORP;0.052885%
BOTTOMLINE TECHNOLOGIES;0.052787%
AXFOOD;0.052724%
HOME BANCSHARES;0.052593%
PRIMARY HEALTH PROP;0.052522%
ALSTRIA OFFICE REIT;0.052422%
ADVANCED DRAINAGE SYSTEM;0.052395%
LIVEPERSON;0.052349%
2U;0.052344%
BANCORPSOUTH;0.052222%
GREGGS;0.052201%
KENNAMETAL;0.052196%
UDG HEALTHCARE;0.052146%
KENEDIX OFFICE INV CORP;0.052124%
DICKS SPORTING GOODS;0.052123%
WEINGARTEN REALTY;0.052099%
PAPA JOHNS INTERNATIONAL;0.052008%
MONEYSUPERMARKET.COM;0.051919%
SUSHIRO GLOBAL HLDGS;0.051910%
WIENERBERGER;0.051910%
ALS;0.051878%
GIBSON ENERGY;0.051765%
OLD NATIONAL BANCORP;0.051721%
INTERPUMP GROUP;0.051673%
KYOWA EXEO CORP;0.051654%
ACADIA HEALTHCARE;0.051588%
APPEN;0.051486%
AUTONATION;0.051484%
APPLE HOSPITALITY REIT;0.051344%
COLUMBIA SPORTSWEAR CO;0.051333%
QUAKER CHEMICAL CORP;0.051182%
EVERCORE PARTNERS;0.051051%
APPLIED INDUSTRIAL TECH;0.050986%
GLANBIA;0.050981%
ASHMORE GROUP;0.050880%
AAON;0.050840%
NETLINK NBN TRUST;0.050809%
IBERIABANK CORP;0.050781%
ALLIANCE DATA SYSTEMS;0.050754%
TURNING POINT;0.050649%
KAGOME CO;0.050545%
GRENKE;0.050448%
INGEVITY CORP;0.050413%
CARGURUS A;0.050320%
VONAGE HOLDINGS;0.050320%
JAPAN LOGISTICS FUND;0.050299%
SANKYU;0.050282%
HELMERICH & PAYNE;0.050244%
FIRST HAWAIIAN;0.050236%
BENDIGO & ADELAIDE BANK;0.050198%
WIHLBORGS FASTIGHETER;0.050075%
CENTERRA GOLD;0.050060%
NIHON UNISYS;0.050058%
ASSOCIATED BANC-CORP;0.050047%
CALIFORNIA WATER SERVICE;0.050044%
SVMK;0.049992%
ALARM.COM HOLDINGS;0.049982%
DENALI THERAPEUTICS;0.049944%
FREENET;0.049936%
CORBION;0.049910%
NOVAGOLD RESOURCES;0.049909%
MERIT MEDICAL SYSTEMS;0.049760%
GAP;0.049707%
FINNING INTL;0.049598%
CLOUDERA;0.049523%
COMFORTDELGRO;0.049499%
ORORA;0.049328%
ENSIGN GROUP (THE);0.049282%
TECHNOPRO HOLDINGS;0.049097%
SAWAI PHARMA CO;0.049089%
ACCIONA;0.049086%
ESCO TECHNOLOGIES;0.049062%
ACTIVIA PROPERTIES;0.049050%
KINDEN CORP;0.048993%
INOVIO PHARMACEUTICALS;0.048742%
CA IMMOBILIEN ANLAGEN;0.048721%
UNIQURE (US);0.048471%
WATTS WATER TECHNOLOGIES;0.048452%
CNO FINANCIAL GROUP;0.048436%
BALFOUR BEATTY;0.048426%
JOHN LAING GROUP;0.048419%
VICTREX;0.048376%
ABM INDUSTRIES;0.048363%
PENNYMAC FINL SERVICES;0.048318%
MACQUARIE INFRA CORP;0.048214%
SINCH;0.048168%
EZAKI GLICO CO;0.048089%
VISTRY GROUP;0.048086%
RATIONAL;0.048063%
EBARA CORP;0.048061%
SYNAPTICS;0.047975%
LONDONMETRIC PROPERTY;0.047961%
AXSOME THERAPEUTICS;0.047940%
SENSIENT TECHNOLOGIES;0.047869%
PREMIUM BRANDS HOLDINGS;0.047833%
HOWARD HUGHES CORP (THE);0.047782%
IROBOT CORP;0.047769%
AF POYRY;0.047714%
CHORUS;0.047658%
OZ MINERALS;0.047620%
SOTETSU HOLDINGS;0.047615%
CLEVELAND CLIFFS;0.047598%
S.O.I.T.E.C.;0.047551%
DIODES;0.047454%
MINERAL RESOURCES;0.047383%
EXLSERVICE HOLDINGS;0.047369%
CONMED CORP;0.047357%
PIEDMONT OFF RLTY TRU A;0.047288%
MORI HILLS REIT INV CO;0.047266%
BEIJER REF B;0.047191%
LENDINGTREE INC A;0.047140%
OUTFRONT MEDIA;0.047119%
AMN HEALTHCARE SERVICES;0.046964%
VISTEON CORP;0.046861%
BRINK'S CO (THE);0.046803%
NU SKIN ENTERPRISES A;0.046712%
PRESTIGE CONSUMER HEALTH;0.046655%
EXTENDED STAY AMERICA;0.046619%
SAILPOINT TECH HLDGS;0.046597%
COMMERCIAL METALS CO;0.046569%
PACWEST BANCORP;0.046555%
NETSCOUT SYSTEMS;0.046503%
NATIONAL VISION HOLDINGS;0.046499%
ATRICURE INC;0.046480%
CORNERSTONE ONDEMAND;0.046427%
KEWPIE CORP;0.046305%
SABRE;0.046154%
APELLIS PHARMACEUTICALS;0.046068%
HANNON ARMSTRONG;0.046042%
NORDIC ENTMT GROUP B;0.046019%
ANGES;0.045945%
ROGERS CORP;0.045868%
NEL;0.045796%
CATHAY BANCORP;0.045716%
TOWER SEMICONDUCTOR;0.045626%
HOUSE FOODS GROUP;0.045610%
CLOSE BROTHERS GROUP;0.045603%
WASHINGTON FEDERAL;0.045466%
TELEPHONE & DATA (NEW);0.045452%
INVITAE;0.045410%
NEW INVESTORS BANCORP;0.045384%
SUNSTONE HOTEL;0.045342%
CROCS INC;0.045318%
COMMSCOPE HOLDING CO;0.045154%
BIG YELLOW GROUP;0.045135%
FRANKLIN ELECTRIC CO;0.045129%
SOFTWARE;0.045106%
FIRST CITIZENS BANCSHS A;0.045060%
ALTRA INDUSTRIAL MOTION;0.045041%
SSP GROUP;0.045031%
ZENKOKU HOSHO;0.045019%
INSPERITY;0.044883%
ROYAL MAIL GROUP;0.044752%
CENTERSTATE BANK CORP;0.044720%
INFRATIL;0.044718%
BANDWIDTH A;0.044651%
J & J SNACK FOODS CORP;0.044607%
DENKA CO;0.044526%
SOPRA STERIA GROUP;0.044506%
BRAVIDA HOLDING;0.044468%
DOMINO'S PIZZA GROUP;0.044458%
SPECTRUM BRANDS;0.044383%
WORLEY;0.044371%
MACY'S;0.044343%
TENET HEALTHCARE CORP;0.044337%
DIC CORP;0.044327%
DKSH HOLDING;0.044292%
FIRST MAJESTIC SILVER;0.044292%
STEPAN CO;0.044229%
BANCO BPM;0.044164%
RINGKJOEBING LANDBOBANK;0.044097%
FULLER (H.B.) CO;0.044096%
HILLENBRAND (NEW);0.044090%
J FRONT RETAILING;0.043981%
COMPUGROUP MEDICAL;0.043980%
STEADFAST GROUP;0.043977%
AURUBIS;0.043897%
KORNIT DIGITAL;0.043885%
AMERICAN EQUITY INV HLDG;0.043752%
GATX CORP;0.043699%
INTEGRAFIN HOLDINGS;0.043678%
HANCOCK WHITNEY CORP;0.043672%
FRASERS LOGISTICS & COMM;0.043632%
TRI POINTE GROUP;0.043621%
ALACER GOLD;0.043578%
AMBARELLA;0.043570%
SIMMONS FIRST NATL A;0.043525%
DORMAN PRODUCTS;0.043511%
STEVEN MADDEN;0.043479%
INTERCEPT PHARMA;0.043448%
FORMFACTOR;0.043239%
KORIAN;0.043108%
FATE THERAPEUTICS;0.043066%
TRINITY INDUSTRIES;0.043032%
NIFCO JAPAN;0.042962%
KAR AUCTION SERVICES;0.042901%
GREAT PORTLAND ESTATES;0.042867%
LASALLE LOGIPORT REIT;0.042786%
EASTERLY GOVERNMENT PPTY;0.042751%
INNOSPEC;0.042695%
SPIE;0.042670%
SANMINA CORPORATION;0.042639%
BALLARD POWER SYSTEMS;0.042566%
CIT GROUP;0.042500%
SPIRENT COMMUNICATIONS;0.042486%
REGIS RESOURCES;0.042400%
RYDER SYSTEM;0.042396%
EUTELSAT COMMUNICATIONS;0.042389%
DANA;0.042388%
LOOMIS B;0.042335%
PLEXUS CORP;0.042332%
AVANZA BANK;0.042321%
GREEN DOT CORP A;0.042285%
PACIFIC PREMIER BANCORP;0.042271%
MANI;0.042265%
MOBIMO HOLDING;0.042258%
HECLA MINING CO;0.042224%
BEZEQ ISRAEL TELECOM;0.042155%
TOPDANMARK;0.042101%
PROGRESS SOFTWARE;0.042074%
MASMOVIL IBERCOM;0.042042%
IGO;0.042012%
STILLFRONT GROUP;0.041967%
VARTA;0.041943%
BARNES GROUP;0.041837%
RYMAN HOSPITALITY PROP;0.041725%
HORIBA;0.041603%
EMMI;0.041570%
