Naam	Weging
NEWMARK GROUP A	0,01%
COSMO PHARMACEUTICALS	0,01%
SEVEN GENERATIONS ENRG A	0,01%
TOOTSIE ROLL IND A	0,01%
WHITECAP RESOURCES	0,01%
ELIOR GROUP	0,01%
LUK FOOK HOLDINGS INTL	0,01%
SONAE	0,01%
MEDLEY	0,01%
VISTA OUTDOOR	0,01%
EVN	0,01%
CHUDENKO CORP	0,01%
JOHNSON ELECTRIC HLDGS	0,01%
MEREDITH CORP	0,01%
SOSILA LOGISTICS REIT	0,01%
KAMEDA SEIKA CO	0,01%
APPLIED THERAPEUTICS	0,01%
ENERPLUS	0,01%
TOKYO STEEL MFG CO	0,01%
MYOVANT SCIENCES	0,01%
SAIZERIYA CO	0,01%
RECIPHARM B	0,01%
GRAFTECH INTL	0,01%
SA DES CIMENTS VICAT	0,01%
FLUIDRA	0,01%
COMBA TELECOM SYS (HK)	0,01%
ALEXANDERS	0,01%
IMMUNOVANT	0,01%
DOMO B	0,01%
AMERICAN SOFTWARE A	0,01%
SAPIENS INTL CORP	0,01%
UNITED LABORATORIES	0,01%
MEDACTA GROUP	0,01%
ORIENT CORP	0,01%
ARCTURUS THERAPEUTIC(US)	0,01%
INDIVIOR	0,01%
COLOPL	0,01%
SORRENTO THERAPEUTICS	0,01%
MEDIASET ESPANA COM	0,01%
GATES INDUSTRIAL	0,01%
HUTCHISON PORT TRUST	0,01%
PETROFAC	0,01%
SONIC AUTOMOTIVE A	0,01%
JMDC	0,01%
PACIFIC BASIN SHIPPING	0,01%
INTERNATIONAL SEAWAYS	0,01%
SSAB A	0,01%
DAVE & BUSTER'S ENTMT	0,01%
TROAX GROUP	0,01%
1-800-FLOWERS,COM A	0,01%
PETROPAVLOVSK	0,01%
RELMADA THERAPEUTICS	0,01%
NISSAN SHATAI CO	0,01%
HOMESTREET	0,01%
TOMTOM	0,01%
JUVENTUS FOOTBALL CLUB	0,01%
KINEPOLIS	0,01%
MEGA OR HOLDINGS	0,01%
GRIFFON CORP	0,01%
NICHIIGAKKAN CO	0,01%
CIE FRANCOIS D'ENT,	0,01%
SOLASTO CORPORATION	0,01%
CITIC TELECOM INTL HLDGS	0,01%
TECNICAS REUNIDAS	0,01%
KADMON HOLDINGS	0,01%
MARUWA UNYU KIKAN	0,01%
MSG NETWORKS A	0,01%
INGLES MARKETS A	0,01%
PAE A	0,01%
QAD A	0,01%
KEPPEL PACIFIC OAK REIT	0,01%
TRANSLATE BIO	0,01%
UT GROUP CO	0,01%
ITOCHU ADVANCE LOGISTICS	0,01%
CYBERDYNE	0,01%
SALZGITTER	0,01%
KENON HOLDINGS	0,01%
CERES POWER HOLDINGS	0,01%
OPTION CARE HEALTH	0,01%
SARAS	0,01%
GESTAMP AUTOMOCION	0,01%
PHIBRO ANIMAL HEALTH A	0,01%
MONARCH CASINO & RESORT	0,01%
MEDIASET	0,01%
INTERPARFUMS	0,01%
RE MAX HOLDINGS A	0,01%
NISSIN ELECTRIC CO	0,01%
TESSENDERLO GROUP	0,01%
UNIVERSAL ENTMT CORP	0,01%
TOKEN CORP	0,01%
GRUPPO MUTUIONLINE	0,01%
SPRINGWORKS THERAPEUTICS	0,01%
KAWASAKI KISEN KAISHA	0,01%
KELLY SERVICES A	0,01%
STARHILL GLOBAL REIT	0,01%
PC CONNECTION	0,01%
CEL-SCI CORP	0,01%
LIFE CORP	0,01%
CORUS ENTERTAINMENT B	0,01%
TAIKO PHARMACEUTICAL CO	0,01%
CT REIT	0,01%
BONHEUR	0,01%
SHUN TAK HOLDINGS	0,01%
