Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"TMUS","T MOBILE US INC","Communicatie","Aandelen","71.408.774,68","0,16","71.408.774,68","515.252,00","138,59","Verenigde Staten","NASDAQ","USD"
"GE","GENERAL ELECTRIC","Industrie","Aandelen","70.640.232,00","0,16","70.640.232,00","905.644,00","78,00","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ALV","ALLIANZ","Financiële waarden","Aandelen","70.604.843,37","0,16","70.604.843,37","336.215,00","210,00","Duitsland","Xetra","EUR"
"EOG","EOG RESOURCES INC","Energie","Aandelen","70.042.897,68","0,16","70.042.897,68","479.976,00","145,93","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CI","CIGNA CORP","Gezondheidszorg","Aandelen","69.957.157,56","0,15","69.957.157,56","266.727,00","262,28","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BNS","BANK OF NOVA SCOTIA","Financiële waarden","Aandelen","69.394.805,07","0,15","69.394.805,07","1.021.388,00","67,94","Canada","Toronto Stock Exchange","CAD"
"MMM","3M","Industrie","Aandelen","68.711.807,67","0,15","68.711.807,67","467.841,00","146,87","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BX","BLACKSTONE INC","Financiële waarden","Aandelen","68.549.350,65","0,15","68.549.350,65","572.055,00","119,83","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SO","SOUTHERN","Nutsbedrijven","Aandelen","67.974.842,61","0,15","67.974.842,61","898.069,00","75,69","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialen","Aandelen","67.674.273,43","0,15","67.674.273,43","429.563,00","157,54","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Vastgoed","Aandelen","67.429.839,84","0,15","67.429.839,84","362.604,00","185,96","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ZTS","ZOETIS INC CLASS A","Gezondheidszorg","Aandelen","67.201.421,12","0,15","67.201.421,12","386.704,00","173,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energie","Aandelen","67.025.894,33","0,15","67.025.894,33","978.260,00","68,52","Canada","Toronto Stock Exchange","CAD"
"MMC","MARSH & MCLENNAN INC","Financiële waarden","Aandelen","66.837.658,50","0,15","66.837.658,50","421.290,00","158,65","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Gezondheidszorg","Aandelen","66.775.655,05","0,15","66.775.655,05","300.859,00","221,95","Verenigde Staten","NASDAQ","USD"
